number,sha,author_id,author_name,date,files,files_sha
0,077f03a85006790528e694e0aa0de219102694b2,60674295,,2020-05-30 02:55:41,"['csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_recovered_global.csv']","['417ee4a84f9fd06b728f18477793eaf0d7198fb7', 'd186d16a004044635393614883115935e98c6210', '8aeb6a302c142ed8a9060be4d65cbc8d81533aa9', '2f131f05c9712d7074dfc2bb5068d5ff6c203a0b', 'b023c0019509a496478481ffbb8224eee23c8121']"
1,e6245f90108b4c6944a771730aee2ce4f48c415d,60674295,,2020-05-30 02:50:02,"['csse_covid_19_data/csse_covid_19_daily_reports/05-29-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports_us/05-29-2020.csv']","['7260f7f9b3cb9bcb3b43e6e9fc8c17bc55c1e5b5', '83dc2b126ca490bc41b1040a3a527803158ab42e']"
2,b844f57ad469fbc5ad64a74c07c9774e6c82d2da,60674295,,2020-05-29 23:14:06,['csse_covid_19_data/UID_ISO_FIPS_LookUp_Table.csv'],['108e2ab0562bb40f091900990e3842a150e7a754']
3,8bd11fbea0f6947a779d4cfe2c616a67233b3649,60674295,,2020-05-29 19:31:41,['csse_covid_19_data/UID_ISO_FIPS_LookUp_Table.csv'],['4f85b98911a3aaf56a2f5293eabb1ee34b5b23bb']
4,b65727c1007cd6fdae61596ba54a6600cb22f399,60674295,,2020-05-29 15:59:58,['README.md'],['243f641b87289379acde7497cfb07921d16dc711']
5,0534ba8b98af1c88a1b6758c76772e48086a109c,60674295,,2020-05-29 15:34:34,['README.md'],['83047d1f9acb05e39191a17669952b4943e9caaa']
6,79bb207e63d9f47544dfedf21a8dfaa0a0ae4166,60674295,,2020-05-29 14:43:19,['README.md'],['7a4e5043c8c5b495af4210405400308d9abe1ce8']
7,66c71f58060776ecdd50aa1477cabaf96f9bde28,60674295,,2020-05-29 02:55:41,"['csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_US.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_US.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_deaths_global.csv', 'csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_recovered_global.csv']","['3d57651ad88f70f08115654a906892f4c623b277', 'bee36ee99c97b9c9061ecf1291f86a8066e57bf1', '4de63d8748b01f964c9ebaa2e3be39006d705e9c', '14ab22fffc31a0405c56f83df5db93bef8c6897e', 'be72b546fd43b9e886567e21fa32ffa56813ded0']"
8,724e843bc12c62a33923894eaee69aec39a1d303,60674295,,2020-05-29 02:50:02,"['csse_covid_19_data/csse_covid_19_daily_reports/05-28-2020.csv', 'csse_covid_19_data/csse_covid_19_daily_reports_us/05-28-2020.csv']","['d9920c06a249d2952eda795f5f8485945834b3f4', 'a9ba7db4065ff1e11fea154ee98b01d1a5d65eb9']"
9,f2b2f3166caa3a50b55fedd81212413a26cb975c,60674295,,2020-05-28 19:22:35,['csse_covid_19_data/UID_ISO_FIPS_LookUp_Table.csv'],['ad8eec17c1a80ca9144da0cc06fa5a4ed6b12ca0']
