number,id,state,assignee,user,tags,time,activity
0,161,closed,,26975703,,2020-05-30 06:26:33,open_issue
0,161,closed,,26975703,,2020-05-30 09:32:12,change_issue
0,161,closed,,26975703,,2020-05-30 09:32:11,close_issue
1,160,closed,,38652037,,2020-05-17 06:47:39,open_issue
1,160,closed,,38652037,,2020-05-25 14:06:36,change_issue
1,160,closed,,38652037,,2020-05-25 14:06:36,close_issue
2,159,closed,,38652037,,2020-05-16 12:02:52,open_issue
2,159,closed,,38652037,,2020-05-16 13:56:00,change_issue
2,159,closed,,38652037,,2020-05-16 13:56:00,close_issue
3,158,closed,,13441534,,2020-05-06 15:14:21,open_issue
3,158,closed,,13441534,,2020-05-07 10:37:56,change_issue
3,158,closed,,13441534,,2020-05-07 10:37:56,close_issue
4,157,closed,,39266690,,2020-05-06 08:18:32,open_issue
4,157,closed,,39266690,,2020-05-07 10:06:56,change_issue
4,157,closed,,39266690,,2020-05-07 10:06:56,close_issue
5,156,closed,,36858424,,2020-05-02 08:49:59,open_issue
5,156,closed,,36858424,,2020-05-07 10:20:00,change_issue
5,156,closed,,36858424,,2020-05-07 10:20:00,close_issue
6,155,closed,,38054642,,2020-04-28 16:36:12,open_issue
6,155,closed,,38054642,,2020-05-07 10:53:03,change_issue
6,155,closed,,38054642,,2020-05-07 10:53:03,close_issue
7,153,closed,,8183111,,2020-04-08 09:40:12,open_issue
7,153,closed,,8183111,,2020-04-08 14:33:24,change_issue
7,153,closed,,8183111,,2020-04-08 14:33:24,close_issue
8,152,closed,,4876720,,2020-04-02 16:33:35,open_issue
8,152,closed,,4876720,,2020-04-03 16:35:08,change_issue
8,152,closed,,4876720,,2020-04-03 16:35:08,close_issue
9,151,closed,,10706825,,2020-03-31 15:44:39,open_issue
9,151,closed,,10706825,,2020-04-02 10:42:20,change_issue
9,151,closed,,10706825,,2020-04-02 10:42:20,close_issue
10,150,closed,,4876720,,2020-03-28 00:55:10,open_issue
10,150,closed,,4876720,,2020-04-02 16:16:42,change_issue
10,150,closed,,4876720,,2020-04-02 16:16:42,close_issue
11,149,closed,,8807203,,2020-03-26 17:20:17,open_issue
11,149,closed,,8807203,,2020-04-02 10:42:36,change_issue
11,149,closed,,8807203,,2020-04-02 10:42:36,close_issue
12,148,closed,,3202998,,2020-03-19 10:58:05,open_issue
12,148,closed,,3202998,,2020-03-27 06:32:34,change_issue
12,148,closed,,3202998,,2020-03-27 06:32:34,close_issue
13,147,closed,,271897,,2020-03-11 14:53:17,open_issue
13,147,closed,,271897,,2020-03-19 12:10:21,change_issue
13,147,closed,,271897,,2020-03-19 12:10:21,close_issue
14,146,closed,,17307,,2020-03-10 13:14:50,open_issue
14,146,closed,,17307,,2020-03-13 10:13:19,change_issue
14,146,closed,,17307,,2020-03-13 10:13:18,close_issue
15,145,closed,,15802182,,2020-02-27 16:51:56,open_issue
15,145,closed,,15802182,,2020-05-07 10:45:26,change_issue
15,145,closed,,15802182,,2020-05-07 10:44:57,close_issue
16,144,closed,,56342194,,2020-02-21 13:18:55,open_issue
16,144,closed,,56342194,,2020-02-21 13:21:00,change_issue
16,144,closed,,56342194,,2020-02-21 13:21:00,close_issue
17,143,closed,,48477434,,2020-02-19 14:32:02,open_issue
17,143,closed,,48477434,,2020-02-21 12:21:24,change_issue
17,143,closed,,48477434,,2020-02-21 12:21:24,close_issue
18,141,closed,,56342194,,2020-02-06 08:44:16,open_issue
18,141,closed,,56342194,,2020-02-21 12:28:07,change_issue
18,141,closed,,56342194,,2020-02-21 12:28:07,close_issue
19,140,closed,,3202998,,2020-01-31 23:56:26,open_issue
19,140,closed,,3202998,,2020-02-02 10:20:16,change_issue
19,140,closed,,3202998,,2020-02-02 10:20:15,close_issue
20,139,closed,,7473521,,2020-01-29 21:54:33,open_issue
20,139,closed,,7473521,,2020-01-30 10:24:10,change_issue
20,139,closed,,7473521,,2020-01-30 10:24:10,close_issue
21,138,closed,,29957001,,2020-01-26 14:15:47,open_issue
21,138,closed,,29957001,,2020-01-30 10:25:53,change_issue
21,138,closed,,29957001,,2020-01-30 10:25:52,close_issue
22,137,closed,,12301473,,2020-01-25 17:19:06,open_issue
22,137,closed,,12301473,,2020-01-28 10:23:13,change_issue
22,137,closed,,12301473,,2020-01-28 10:23:13,close_issue
23,136,closed,,342400,,2020-01-24 23:01:25,open_issue
23,136,closed,,342400,,2020-01-26 01:27:40,change_issue
23,136,closed,,342400,,2020-01-26 01:27:16,close_issue
24,135,closed,,13148253,,2020-01-24 12:49:22,open_issue
24,135,closed,,13148253,,2020-01-25 15:41:21,change_issue
24,135,closed,,13148253,,2020-01-25 15:41:21,close_issue
25,134,closed,,22388580,,2020-01-08 13:14:11,open_issue
